movie_director,movie_duration,movie_gender,movie_rating,movie_sumary,movie_title,movie_year
['Henry Selick'],['\n                        1h 16min\n                    '],"['Animation', 'Family', 'Fantasy']",['8.0'],"['\n                    Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.\n            ']",['El extraño mundo de Jack\xa0'],['1993']
['Jacob Chase'],['\n                        1h 36min\n                    '],"['Drama', 'Horror', 'Mystery']",['5.8'],['\n                    A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.\n            '],['Come Play\xa0'],['2020']
"['Glen Keane', 'John Kahrs']",['\n                        1h 35min\n                    '],"['Animation', 'Adventure', 'Comedy']",['6.6'],"['\n                    In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.\n            ']",['Over the Moon\xa0'],['2020']
['Brandon Cronenberg'],['\n                        1h 43min\n                    '],"['Horror', 'Sci-Fi', 'Thriller']",['6.5'],"[""\n                    Possessor follows an agent who works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.\n            ""]",['Possessor\xa0'],['2020']
['Harry Bradbeer'],['\n                        2h 3min\n                    '],"['Adventure', 'Crime', 'Drama']",['6.6'],"[""\n                    When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.\n            ""]",['Enola Holmes\xa0'],['2020']
['Leigh Whannell'],['\n                        2h 4min\n                    '],"['Drama', 'Horror', 'Mystery']",['7.1'],"[""\n                    When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.\n            ""]",['El hombre invisible\xa0'],['2020']
['Terence Young'],['\n                        1h 50min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.2'],['\n                    A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.\n            '],['Dr. No\xa0'],['1962']
['Antonio Campos'],['\n                        2h 18min\n                    '],"['Crime', 'Drama', 'Thriller']",['7.1'],['\n                    Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.\n            '],['El diablo a todas horas\xa0'],['2020']
['Barry Sonnenfeld'],['\n                        1h 39min\n                    '],"['Comedy', 'Fantasy']",['6.9'],['\n                    Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.\n            '],['The Addams Family\xa0'],['1991']
['Michael Bay'],['\n                        2h 16min\n                    '],"['Action', 'Adventure', 'Thriller']",['7.4'],"['\n                    A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.\n            ']",['The Rock\xa0'],['1996']
